product_name,price,rating,stock_status,product_url,scraped_at
Dragon fire dark turquoise and purple iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Dragon-fire-dark-turquoise-and-purple-by-adenaJ/71096259/3bp7,2026-08-05T12:10:39.834166
A Quiet Spot of Tea iPhone Tough Case,$37.61,N/A,In Stock,https://www.redbubble.com/i/iphone-case/A-Quiet-Spot-of-Tea-by-littleclyde/28810623/3bp7,2026-08-05T12:10:39.901871
whimsical gothic pattern iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/whimsical-gothic-pattern-by-gaiamarfurt/151711899/3bp7,2026-08-05T12:10:39.963071
Hiss Into The Abyss iPhone Tough Case,$37.61,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Hiss-Into-The-Abyss-by-wytrab8/45591646/3bp7,2026-08-05T12:10:40.023096
Mermaid iPhone Tough Case,$37.61,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Mermaid-by-sashakeen/11729718/3bp7,2026-08-05T12:10:40.083549
Antique Embroidered Velvet iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Antique-Embroidered-Velvet-by-JoolyA/21481322/3bp7,2026-08-05T12:10:40.138102
Cute Capybara Loves Bubble Tea iPhone Tough Case,$35.21,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Cute-Capybara-Loves-Bubble-Tea-by-rustydoodle/138358478/3bp7,2026-08-05T12:10:40.187965
Marshmallows and ghost stories iPhone Tough Case,$51.15,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Marshmallows-and-ghost-stories-by-katherineblower/85458974/3bp7,2026-08-05T12:10:40.238332
feeling just d a n d y iPhone Tough Case,$45.13,N/A,In Stock,https://www.redbubble.com/i/iphone-case/feeling-just-d-a-n-d-y-by-theArtoflOve/9609591/3bp7,2026-08-05T12:10:40.286172
Mid Century Kitty Mischief III ©studioxtine iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Mid-Century-Kitty-Mischief-III-studioxtine-by-studioxtine/42616265/3bp7,2026-08-05T12:10:40.344637
Black Witch Moth Pattern iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Black-Witch-Moth-Pattern-by-episodicDrawing/162905185/3bp7,2026-08-05T12:10:40.384857
Unleashed Imagination iPhone Tough Case,$37.61,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Unleashed-Imagination-by-buko/14937270/3bp7,2026-08-05T12:10:40.432655
Little Owl iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Little-Owl-by-AmyHamilton/13940186/3bp7,2026-08-05T12:10:40.477484
Teal Blue Crocodile Leather Pattern iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Teal-Blue-Crocodile-Leather-Pattern-by-capricedefille/28624883/3bp7,2026-08-05T12:10:40.519826
Kingdom Hearts Pattern2 iPhone Tough Case,$40.92,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Kingdom-Hearts-Pattern2-by-Chatot/37597960/3bp7,2026-08-05T12:10:40.565133
"""color pool"" (2025) - raw print iPhone Tough Case",$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/color-pool-2025-raw-print-by-subisdesigns/182645258/3bp7,2026-08-05T12:10:40.606505
E4 Necklace iPhone Tough Case,$33.10,N/A,In Stock,https://www.redbubble.com/i/iphone-case/E4-Necklace-by-ElisaB24/182058338/3bp7,2026-08-05T12:10:40.653442
Arc Reactor - Armor Man Iron iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Arc-Reactor-Armor-Man-Iron-by-Koleidescope/41295589/3bp7,2026-08-05T12:10:40.711791
Lament Configuration Spread iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Lament-Configuration-Spread-by-Falln/24247391/3bp7,2026-08-05T12:10:40.762067
Trust in God iPhone Tough Case,$40.62,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Trust-in-God-by-stevenrhodes/67679634/3bp7,2026-08-05T12:10:40.804567
MAIDENS : Vintage Gustav Klimt Oil Painting Print iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/MAIDENS-Vintage-Gustav-Klimt-Oil-Painting-Print-by-posterbobs/41554441/3bp7,2026-08-05T12:10:40.866700
Heads Up Phone Cases & Skins iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Heads-Up-Phone-Cases-and-Skins-by-RichSkipworth/21822255/3bp7,2026-08-05T12:10:40.931981
Minecraft Epic Enderdragon Battle Art iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Minecraft-Epic-Enderdragon-Battle-Art-by-JaypegDesigns/64893717/3bp7,2026-08-05T12:10:41.003534
